Node_ID           X-Coord            Y-Coord           
NODO0            5651839.221        6154196.466       
NODO2            5652049.599        6154332.025       
NODO4            5652259.978        6154467.584       
NODO6            5652470.357        6154603.143       
NODO7            5652575.546        6154670.923       
NODO9            5652784.705        6154801.339       
NODO11           5652993.863        6154931.756       
NODO13           5653203.021        6155062.173       
NODO15           5653406.500        6155192.380       
NODO16           5653508.239        6155257.483       
NODO17           5653609.978        6155322.587       
NODO18           5652309.088        6153919.156       
NODO20           5652495.322        6154023.412       
NODO22           5652668.505        6154135.038       
NODO24           5652841.688        6154246.664       
NODO26           5653051.774        6154391.067       
NODO28           5653261.859        6154535.471       
NODO30           5653471.945        6154679.875       
NODO32           5653644.832        6154796.268       
NODO33           5653731.275        6154854.465       
NODO35           5653862.250        6154661.432       
NODO37           5653979.360        6154755.801       
NODO38           5653606.892        6154150.434       
NODO40           5653842.060        6154170.358       
NODO42           5654018.716        6154176.394       
NODO43           5653452.401        6154370.086       
NODO46           5653861.061        6154303.627       
NODO47           5653894.158        6154174.563       
NODO48           5653802.622        6153817.984       
NODO50           5654012.735        6153946.815       
NODO51           5654118.219        6154000.662       
NODO52           5653685.794        6153996.452       
NODO54           5653390.316        6153808.169       
NODO56           5653587.301        6153933.691       
NODO57           5653329.702        6153909.363       
NODO58           5653645.052        6155144.566       
NODO60           5653852.293        6155289.729       
NODO62           5654059.336        6155435.499       
NODO63           5653526.254        6153376.715       
NODO65           5653750.391        6153512.839       
NODO66           5653859.839        6153577.081       
NODO67           5653676.951        6153599.209       
NODO68           5653351.880        6153658.536       
NODO70           5653468.130        6153470.655       
NODO71           5653123.503        6153525.430       
NODO73           5652833.213        6153736.338       
NODO75           5652939.431        6153544.845       
NODO76           5652993.782        6153449.825       
NODO77           5652947.108        6153813.161       
NODO79           5653064.705        6153621.340       
NODO80           5652417.121        6153497.559       
NODO82           5652623.536        6153614.989       
NODO83           5652726.743        6153673.704       
NODO84           5652381.971        6153568.916       
NODO85           5652236.963        6153473.008       
NODO87           5652186.028        6153577.712       
NODO88           5652286.729        6153370.049       
NODO89           5653152.701        6152912.520       
NODO91           5653338.443        6153020.058       
NODO93           5653524.185        6153127.596       
NODO94           5653616.160        6153186.803       
NODO96           5652845.236        6153454.397       
NODO98           5652968.222        6153237.646       
NODO100          5653091.208        6153020.895       
NODO101          5653295.181        6153491.320       
NODO103          5653409.865        6153309.560       
NODO105          5652937.926        6153291.122       
NODO107          5653116.553        6153391.222       
NODO111          5652522.733        6153291.875       
NODO113          5652733.030        6153402.875       
NODO115          5652834.756        6153228.389       
NODO117          5652947.053        6153033.241       
NODO118          5653003.202        6152935.667       
NODO119          5652664.084        6152737.202       
NODO121          5652890.176        6152869.512       
NODO122          5652552.732        6152933.608       
NODO124          5652721.806        6153159.774       
NODO126          5652593.667        6153090.346       
NODO130          5653127.645        6152759.090       
NODO132          5653240.185        6152563.234       
NODO134          5653451.951        6152690.879       
NODO135          5653492.653        6152617.457       
NODO138          5653734.665        6152775.582       
NODO139          5653366.971        6152838.977       
NODO141          5653634.997        6152389.699       
NODO143          5653732.389        6152215.263       
NODO144          5653189.607        6152331.542       
NODO146          5653319.118        6152113.312       
NODO147          5653401.415        6152014.443       
NODO148          5652987.592        6152213.274       
